MISPAR RECHEV|TAARICH HAFAKAT TAG|SUG TAV
1014952|20190826|1
1014972|20191230|1
1014973|20190826|1
1014984|20190826|2
1015062|20190912|1
1015132|20190826|1
1015164|20180827|1
1015171|20180507|1
1015266|20190826|1
1015311|20190327|1
1015537|20190826|1
1015661|20190705|1
1015873|20190826|1
1015910|20191118|1
1015931|20190606|1
1015934|20190826|2
1016052|20190801|1
1016231|20180729|1
1016250|20190826|1
1016260|20190826|2
1016310|20190826|1
1016473|20190826|1
1016552|20190826|1
1016562|20190826|1
1016566|20190826|1
1016668|20191027|1
1016762|20191201|1
1016772|20180711|1
1016773|20191119|1
1016933|20190805|1
1017011|20190826|2
1017031|20171205|1
1017132|20191125|1
1017135|20190826|1
1017137|20180122|1
1017233|20190826|1
1017233|20190826|1
1017268|20191106|1
1017273|20191103|1
1017285|20191224|1
1017431|20190204|1
1017434|20190826|2
1017452|20191113|1
1017460|20191126|1
1017471|20191029|1
1017511|20191210|1
1017532|20191023|1
1017534|20190826|1
1017562|20190826|1
1017587|20190826|1
1017661|20190402|1
1017731|20190530|1
1017737|20191224|1
1017738|20191028|1
1017811|20191126|1
1017831|20191107|1
1017860|20190114|1
1017864|20180320|1
1017937|20181213|1
1018027|20200109|1
1018037|20190826|2
1018114|20170213|1
1018151|20190826|1
1018166|20190826|2
1018232|20190908|1
1018261|20190826|1
1018284|20190211|1
1018337|20190602|1
1018431|20190722|1
1018437|20190826|1
1018451|20190724|1
1018631|20181216|1
1018650|20190220|1
1018711|20190826|1
1018768|20190826|1
1018950|20190826|2
1018962|20190826|1
1018968|20190925|1
1019061|20171211|1
1019071|20190722|1
1019072|20190613|1
1019138|20190401|1
1019185|20191128|1
1019211|20170914|1
1019272|20190826|1
1019338|20190918|1
1019385|20191107|1
1019466|20191118|1
1019484|20191006|1
1019538|20190826|1
1019560|20190826|1
1019585|20190807|1
1019635|20190327|1
1019638|20190106|1
1019673|20190826|1
1019733|20171224|1
1019738|20190826|1
1019810|20190826|1
1019832|20190826|1
1019852|20190826|1
1019868|20190826|1
1019934|20200108|1
1019961|20190124|1
1019962|20190429|1
1020087|20190826|1
1020185|20190826|1
1020232|20190826|1
1020237|20190826|1
1020273|20190703|1
1020333|20191225|1
1020362|20190826|1
1020433|20190723|1
1020434|20190826|1
1020437|20190729|1
1020452|20190903|1
1020468|20190826|1
1020551|20191114|1
1020572|20190826|1
1020671|20190430|1
1020685|20191225|1
1020766|20190826|1
1020815|20190926|1
1020838|20190826|1
1020911|20190826|1
1020932|20190801|1
1021060|20190908|1
1021138|20171019|1
1021168|20190826|1
1021172|20190828|1
1021234|20190826|1
1021411|20190826|1
1021438|20191224|1
1021532|20190813|1
1021802|20200109|1
1021850|20190430|1
1021910|20190826|1
1021937|20190826|1
1021960|20190826|1
1022037|20190613|1
1022131|20191231|1
1022137|20190705|1
1022152|20190814|1
1022162|20180820|1
1022232|20190826|1
1022237|20180625|1
1022238|20191013|1
1022271|20180916|1
1022452|20191029|1
1022473|20191210|1
1022534|20190501|2
1022560|20190826|1
1022575|20190505|1
1022638|20190826|1
1022734|20181210|1
1022772|20130102|1
1022831|20191229|1
1022862|20191119|1
1023034|20200105|1
1023038|20180410|1
1023110|20180307|1
1023152|20191231|1
1023234|20190502|1
1023262|20190826|1
1023310|20190826|1
1023338|20190516|1
1023360|20190826|1
1023387|20190826|1
1023431|20180917|1
1023450|20200105|1
1023461|20180808|1
1023532|20190721|1
1023537|20191226|1
1023562|20191111|1
1023568|20190826|1
1023637|20190826|1
1023652|20190826|1
1023672|20171206|1
1023714|20190826|1
1023732|20190826|1
1023772|20190826|1
1023811|20190331|1
1023932|20190926|1
1023960|20190514|1
1023971|20190826|1
1024038|20190813|1
1024073|20190826|1
1024110|20190826|1
